neighborhood,business_id,hours,is_open,address,attributes,categories,city,review_count,name,longitude,state,stars,latitude,postal_code,type
,0DI8Dt2PJp07XkVvIElIcQ,"[u'Monday 11:0-21:0', u'Tuesday 11:0-21:0', u'Wednesday 11:0-21:0', u'Thursday 11:0-21:0', u'Friday 11:0-22:0', u'Saturday 10:0-22:0', u'Sunday 11:0-18:0']",0,"227 E Baseline Rd, Ste J2","[u'BikeParking: True', u'BusinessAcceptsBitcoin: False', u'BusinessAcceptsCreditCards: True', u""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", u'DogsAllowed: False', u'RestaurantsPriceRange2: 2', u'WheelchairAccessible: True']","[u'Tobacco Shops', u'Nightlife', u'Vape Shops', u'Shopping']",Tempe,17,Innovative Vapors,-111.936102,AZ,4.5,33.3782141,85283,business
,LTlCaCGZE14GuaUXUGbamg,"[u'Monday 0:0-0:0', u'Tuesday 0:0-0:0', u'Wednesday 0:0-0:0', u'Thursday 0:0-0:0', u'Friday 0:0-0:0', u'Saturday 0:0-0:0', u'Sunday 0:0-0:0']",1,495 S Grand Central Pkwy,"[u'BusinessAcceptsBitcoin: False', u'BusinessAcceptsCreditCards: True']","[u'Caterers', u'Grocery', u'Food', u'Event Planning & Services', u'Party & Event Planning', u'Specialty Food']",Las Vegas,9,Cut and Taste,-115.1592718,NV,5.0,36.1922841,89106,business
Dufferin Grove,EDqCEAGXVGCH4FJXgqtjqg,"[u'Monday 11:0-2:0', u'Tuesday 11:0-2:0', u'Wednesday 11:0-2:0', u'Thursday 11:0-3:0', u'Friday 11:0-3:0', u'Saturday 11:0-3:0', u'Sunday 11:0-2:0']",1,979 Bloor Street W,"[u'Alcohol: none', u""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", u'BikeParking: True', u'BusinessAcceptsCreditCards: True', u""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", u'Caters: True', u'GoodForKids: True', u""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", u'HasTV: True', u'NoiseLevel: quiet', u'OutdoorSeating: False', u'RestaurantsAttire: casual', u'RestaurantsDelivery: True', u'RestaurantsGoodForGroups: True', u'RestaurantsPriceRange2: 1', u'RestaurantsReservations: False', u'RestaurantsTableService: False', u'RestaurantsTakeOut: True', u'WiFi: free']","[u'Restaurants', u'Pizza', u'Chicken Wings', u'Italian']",Toronto,7,Pizza Pizza,-79.429089,ON,2.5,43.661054,M6H 1L5,business
,cnGIivYRLxpF7tBVR_JwWA,"[u'Tuesday 10:0-21:0', u'Wednesday 10:0-21:0', u'Thursday 10:0-21:0', u'Friday 10:0-18:0', u'Saturday 9:0-16:0']",1,7014 Steubenville Pike,"[u'AcceptsInsurance: False', u'BusinessAcceptsCreditCards: True', u""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", u'ByAppointmentOnly: True', u""HairSpecializesIn: {'coloring': False, 'africanamerican': False, 'curly': False, 'perms': False, 'kids': False, 'extensions': False, 'asian': False, 'straightperms': False}"", u'RestaurantsPriceRange2: 3']","[u'Hair Removal', u'Beauty & Spas', u'Blow Dry/Out Services', u'Hair Stylists', u'Hair Extensions', u'Massage', u'Permanent Makeup', u'Waxing', u'Hair Salons']",Oakdale,4,Plush Salon and Spa,-80.1745398943,PA,4.0,40.4445439533,15071,business
Downtown Core,cdk-qqJ71q6P7TJTww_DSA,,1,321 Jarvis Street,"[u'BusinessAcceptsCreditCards: True', u'RestaurantsPriceRange2: 2', u'WiFi: free']","[u'Hotels & Travel', u'Event Planning & Services', u'Hotels']",Toronto,8,Comfort Inn,-79.3754006,ON,3.0,43.6598286,M5B 2C2,business
,Q9rsaUiQ-A3NdEAloy0aJA,"[u'Monday 10:30-20:0', u'Tuesday 10:30-20:0', u'Thursday 10:30-20:0', u'Friday 10:30-20:0', u'Saturday 10:30-19:0', u'Sunday 10:30-19:0']",1,"30 Gibson Drive, Suite122","[u'BusinessAcceptsCreditCards: True', u'ByAppointmentOnly: True', u'RestaurantsPriceRange2: 3']","[u'Nail Salons', u'Beauty & Spas']",Markham,3,A Plus Nail,-79.342722,ON,2.5,43.82764,L3R 2S3,business
,Cu4_Fheh7IrzGiK-Pc79ig,"[u'Monday 10:0-18:0', u'Tuesday 10:0-18:0', u'Wednesday 10:0-18:0', u'Thursday 10:0-18:0', u'Friday 10:0-18:0', u'Saturday 10:0-18:0', u'Sunday 11:0-16:0']",1,10875 N Frankloyd Wright Blvd,"[u'BikeParking: True', u'BusinessAcceptsCreditCards: True', u""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", u'RestaurantsPriceRange2: 2', u'WheelchairAccessible: True']","[u'Baby Gear & Furniture', u'Shopping']",Scottsdale,8,Boomerang Baby,-111.8349538,AZ,3.5,33.5852707,85259,business
,GDnbt3isfhd57T1QqU6flg,"[u'Monday 10:0-22:0', u'Tuesday 10:0-22:0', u'Wednesday 10:0-22:0', u'Thursday 10:0-22:0', u'Friday 10:0-22:0', u'Saturday 10:0-22:0', u'Sunday 10:0-22:0']",1,11072 No Frank Lloyd Wright,"[u'Alcohol: none', u""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", u'BikeParking: True', u'BusinessAcceptsCreditCards: True', u""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", u'DriveThru: True', u'GoodForKids: True', u""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", u'HasTV: False', u'NoiseLevel: quiet', u'OutdoorSeating: False', u'RestaurantsAttire: casual', u'RestaurantsDelivery: False', u'RestaurantsGoodForGroups: True', u'RestaurantsPriceRange2: 1', u'RestaurantsReservations: False', u'RestaurantsTableService: False', u'RestaurantsTakeOut: True', u'WiFi: no']","[u'Tex-Mex', u'Mexican', u'Fast Food', u'Restaurants']",Scottsdale,9,Taco Bell,-111.83541,AZ,2.5,33.58671,85259,business
,qwAHit4Tuj1zpO7CxVwOMA,"[u'Monday 9:30-18:0', u'Tuesday 9:30-18:0', u'Wednesday 9:30-18:0', u'Thursday 9:30-18:0', u'Friday 9:30-18:0', u'Saturday 8:30-17:0', u'Sunday 11:0-15:0']",1,11000 North 115th Street,[u'BusinessAcceptsCreditCards: True'],"[u'Local Services', u'Self Storage']",Scottsdale,11,CubeSmart Self Storage,-111.8325788,AZ,4.5,33.5864403,85259,business
